Method,k,Execution Time (s),Silhouette Score
NBC,2,0.0469,0.1431
NBC,3,0.0640,0.1139
NBC,4,0.0540,0.1076
NBC,5,0.0450,-0.0566
NBC,6,0.1170,-0.1980
NBC,7,0.0750,-0.0333
NBC,8,0.0530,0.1044
NBC,9,0.0450,0.0791
NBC,10,0.1110,0.2842
NBC,11,0.0480,0.0991
NBC,12,0.0540,0.3026
NBC,13,0.0540,0.4155
NBC,14,0.0550,0.3876
NBC,15,0.0494,0.3881
NBC,16,0.0600,0.4119
NBC,17,0.0500,0.4132
NBC,18,0.0560,0.3973
NBC,19,0.0585,0.4131
K-Means,2,0.0360,0.4859
K-Means,3,0.0680,0.4440
K-Means,4,0.0600,0.4418
K-Means,5,0.0840,0.4072
K-Means,6,0.0720,0.3703
K-Means,7,0.0840,0.4142
K-Means,8,0.1186,0.4212
K-Means,9,0.0838,0.4177
K-Means,10,0.0850,0.4011
K-Means,11,0.0910,0.3910
K-Means,12,0.0950,0.3996
K-Means,13,0.1100,0.3975
K-Means,14,0.1320,0.3874
K-Means,15,0.1130,0.3969
K-Means,16,0.1120,0.3969
K-Means,17,0.1290,0.3861
K-Means,18,0.1210,0.3993
K-Means,19,0.1150,0.3922
