Method,k,Execution Time (s),Silhouette Score
NBC,2,0.0200,0.1034
NBC,3,0.0260,0.0935
NBC,4,0.0260,0.1259
NBC,5,0.0260,0.2778
NBC,6,0.0230,0.3818
NBC,7,0.0370,0.4592
NBC,8,0.0220,0.5071
NBC,9,0.0250,0.5189
NBC,10,0.0320,0.5501
NBC,11,0.0300,0.5818
NBC,12,0.0350,0.5894
NBC,13,0.0390,0.6094
NBC,14,0.0270,0.6231
NBC,15,0.0320,0.6283
NBC,16,0.0330,0.6178
NBC,17,0.0320,0.6396
NBC,18,0.0310,0.6367
NBC,19,0.0281,0.6532
K-Means,2,0.0450,0.2982
K-Means,3,0.0650,0.3290
K-Means,4,0.0750,0.4182
K-Means,5,0.0690,0.5224
K-Means,6,0.0620,0.5623
K-Means,7,0.0570,0.6028
K-Means,8,0.0800,0.6530
K-Means,9,0.0670,0.6197
K-Means,10,0.0690,0.6341
K-Means,11,0.0660,0.6427
K-Means,12,0.0690,0.6432
K-Means,13,0.0750,0.6861
K-Means,14,0.0630,0.7163
K-Means,15,0.0640,0.7528
K-Means,16,0.0870,0.7316
K-Means,17,0.0880,0.6932
K-Means,18,0.0750,0.6648
K-Means,19,0.0850,0.6439
