Method,k,Execution Time (s),Silhouette Score
NBC,2,0.0050,0.2031
NBC,3,0.0110,0.3363
NBC,4,0.0050,0.2961
NBC,5,0.0100,0.0350
NBC,6,0.0060,0.0504
NBC,7,0.0070,0.2078
NBC,8,0.0069,0.1120
NBC,9,0.0090,0.0883
NBC,10,0.0080,-0.1262
NBC,11,0.0090,0.0261
NBC,12,0.0150,-0.0284
NBC,13,0.0090,-0.1308
NBC,14,0.0060,-0.1271
NBC,15,0.0130,-0.1285
NBC,16,0.0100,-0.1167
NBC,17,0.0110,-0.1269
NBC,18,0.0090,-0.0358
NBC,19,0.0090,0.1551
K-Means,2,0.0450,0.3104
K-Means,3,0.0640,0.3274
K-Means,4,0.0640,0.3289
K-Means,5,0.0540,0.3961
K-Means,6,0.0760,0.3979
K-Means,7,0.0650,0.3930
K-Means,8,0.0590,0.4082
K-Means,9,0.0670,0.4145
K-Means,10,0.0600,0.4398
K-Means,11,0.1160,0.5084
K-Means,12,0.0600,0.5140
K-Means,13,0.0630,0.5205
K-Means,14,0.0720,0.5487
K-Means,15,0.0720,0.5498
K-Means,16,0.0660,0.5438
K-Means,17,0.0740,0.5427
K-Means,18,0.0720,0.5374
K-Means,19,0.0890,0.5471
