Method,k,Execution Time (s),Silhouette Score
NBC,2,0.0330,0.1034
NBC,3,0.0625,0.0935
NBC,4,0.0312,0.1259
NBC,5,0.0253,0.2778
NBC,6,0.0250,0.3818
NBC,7,0.0450,0.4592
NBC,8,0.0330,0.5071
NBC,9,0.0520,0.5189
NBC,10,0.0400,0.5501
NBC,11,0.0496,0.5818
NBC,12,0.0360,0.5894
NBC,13,0.0420,0.6094
NBC,14,0.0350,0.6231
NBC,15,0.0630,0.6283
NBC,16,0.0500,0.6178
NBC,17,0.0580,0.6396
NBC,18,0.0390,0.6367
NBC,19,0.0481,0.6532
K-Means,2,0.0740,0.2982
K-Means,3,0.0780,0.3290
K-Means,4,0.1000,0.4182
K-Means,5,0.0960,0.5224
K-Means,6,0.1023,0.5623
K-Means,7,0.1000,0.6028
K-Means,8,0.1160,0.6530
K-Means,9,0.0880,0.6197
K-Means,10,0.0920,0.6341
K-Means,11,0.0880,0.6427
K-Means,12,0.1180,0.6432
K-Means,13,0.1230,0.6861
K-Means,14,0.1180,0.7163
K-Means,15,0.1146,0.7528
K-Means,16,0.1470,0.7316
K-Means,17,0.1060,0.6932
K-Means,18,0.1010,0.6648
K-Means,19,0.1230,0.6439
